sku,price,special_price,msrp,tax_class_id
C-O-BB-04,46560,18625,14900,5
S-H-V-02,49000,17150,13720,5
S-F-G-02,43700,15295,12236,5
S-F-LV-09,36990,9250,7400,5
B-H-CS-01,7500,3750,2625,5
C-D-WTS-01,9300,2790,1953,7
S-H-SM-17,8999,2250,1575,5
B-H-GS-23,6290,1570,1099,5
C-B-UCB-49,2999,1499,1049.3,7
C-T-PALA-01,4100,1230,861,7
C-O-TH-12,3999,1199,839.3,7
C-B-MNG-59,2290,1145,801.5,7
S-H-CIS-02,4500,1125,787.5,5
C-O-MNG-29,3200,1120,784,7
C-T-ZA-249,2200,1100,770,7
C-D-MNG-75,3000,1050,735,7
C-D-ZA-85,3000,1050,735,7
C-O-MNG-27,3200,1050,735,7
C-B-MNG-56,2890,1010,707,7
C-B-MNG-58,2890,1010,707,7
C-B-MNG-61,2890,1010,707,7
C-D-ZA-82,2890,1010,707,7
C-D-ZA-83,2890,1010,707,7
C-T-ZA-250,1990,995,696.5,7
S-F-AJ-01,3200,960,672,5
C-T-LRL-09,3190,959,671.3,7
C-T-RL-53,3190,959,671.3,7
C-T-WLS-26,1899,950,665,7
C-D-MS-10,3000,900,630,7
C-O-UCB-12,2999,899,629.3,7
C-T-TH-54,2990,899,629.3,7
C-B-MNS-80,2500,875,612.5,7
C-B-MNS-81,2500,875,612.5,7
C-T-S-21,2800,840,588,7
C-D-NLK-11,2790,839,587.3,7
C-D-ZA-84,2290,800,560,7
C-O-ZA-26,2290,800,560,7
C-O-ZA-27,2290,800,560,7
C-O-ZA-28,2290,800,560,7
C-O-ZA-29,2290,800,560,7
C-D-NYC-03,2599,799,559.3,7
C-T-GS-28,2599,779,545.3,7
C-D-DP-15,2590,777,543.9,7
C-O-MNG-30,2200,770,539,7
C-T-MNG-127,2200,770,539,7
C-T-MNG-128,2200,770,539,7
C-T-MNG-129,2200,770,539,7
C-T-MNS-110,2200,770,539,7
C-T-MNS-113,2200,770,539,7
C-T-MNS-114,2200,770,539,7
C-D-AND1-27,2500,750,525,7
C-D-AND1-28,2500,750,525,7
C-D-H&M-39,2500,750,525,7
C-D-H&M-40,2500,750,525,7
C-T-WH-05,2500,750,525,7
C-B-UCB-47,2499,749,549,7
C-T-NE-28,2499,749,549,7
C-T-S-20,2499,749,549,7
C-D-OY-17,2000,700,500,7
B-H-H&M-02,2200,660,460,5
C-B-GRG-03,2200,660,460,7
C-B-MNG-57,1890,660,460,7
C-T-ESP-48,2200,660,460,7
C-T-FN-35,2200,660,460,7
C-T-RVCA-01,2200,660,460,7
C-T-UCB-85,2200,660,460,7
C-T-ZA-247,1890,660,460,7
C-T-ZA-248,1890,660,460,7
C-T-TL-04,2140,640,440,7
C-O-UCB-11,2099,630,430,7
C-B-PD-18,1999,599,399,7
C-T-BSK-23,1999,599,399,7
C-T-BSK-24,1999,599,399,7
C-T-BSK-25,1999,599,399,7
C-T-NLK-12,1990,599,399,7
C-T-NLK-13,1990,599,399,7
S-F-ADS-02,2999,599,399,5
C-T-LS-12,1999,597,397,7
C-O-H&M-10,1899,570,370,7
C-T-VH-26,1900,570,370,7
C-D-PROV-01,1899,569,369,7
C-T-PD-82,1800,540,340,7
C-T-PD-83,1800,540,340,7
C-T-PD-84,1800,540,340,7
C-T-PD-85,1800,540,340,7
C-T-PD-86,1800,540,340,7
C-B-ASY-05,1799,539,339,7
C-T-EE-05,1799,539,339,7
C-B-H&M-27,1699,510,310,7
C-D-FF-13,1699,510,310,7
C-T-AND1-29,1699,510,310,7
C-T-AND1-30,1699,510,310,7
C-T-PJ-10,1499,499,299,7
C-T-LS-13,1399,489,289,7
C-T-H&M-94,1599,480,280,7
C-B-COD-03,1599,479,279,7
C-T-NKE-13,1600,479,279,7
C-T-KVS-10,1500,450,250,7
C-T-ASY-28,1499,449,249,7
C-T-COD-05,1499,449,249,7
C-T-FF-11,1499,449,249,7
C-T-FF-12,1499,449,249,7
C-T-KVS-09,1100,440,240,7
C-T-BOSS-11,1399,420,220,7
C-D-VM-52,0,0,0,7
C-O-VM-13,0,0,0,7
C-T-MNS-111,0,0,0,7
C-T-MNS-112,0,0,0,7
C-T-VM-109,0,0,0,7
C-T-ZA-246,0,0,0,7
S-F-SF-05,0,0,0,5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,